Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771558359167,399,550,400,400,399,2199,1854,1518,2260,2236,2259,400,400,400,3431,400,400,400,400,400,11.111111640930176,5.555555820465088,16.666667938232422,7.894736289978027,5.714285850524902,13.51351261138916,16.666667938232422,8.823529243469238,16.216215133666992,10.526315689086914,24.324325561523438,2.857142925262451,5.555555820465088,5.405405521392822,13.51351261138916,2.857142925262451,5.714285850524902,2.857142925262451,5.555555820465088,0,0,16376,15995,8986,42,0,58551.89959716797,43085.20471191406,1921.3267822265625,33336795136,0,6585282560,0
200,1771558359167,399,550,400,400,399,2199,1854,1518,2260,2236,2259,400,400,400,3431,400,400,400,400,400,11.111111640930176,5.555555820465088,16.666667938232422,7.894736289978027,5.714285850524902,13.51351261138916,16.666667938232422,8.823529243469238,16.216215133666992,10.526315689086914,24.324325561523438,2.857142925262451,5.555555820465088,5.405405521392822,13.51351261138916,2.857142925262451,5.714285850524902,2.857142925262451,5.555555820465088,0,0,16376,15995,8986,42,0,58552.11853027344,43085.26611328125,1921.3267822265625,33336795136,0,6585278464,0
199,1771558359368,399,550,400,400,399,2199,1854,1518,2260,2236,2259,400,400,400,3431,400,400,400,400,400,0,0,19.230770111083984,0,0,0,0,0,0,0,0,0,3.7037036418914795,0,0,0,0,0,0,0,0,16376,15995,8986,42,0,58553.58679199219,43085.33166503906,1921.3267822265625,33336795136,0,6585278464,0
200,1771558359568,399,550,400,400,399,2199,1854,1518,2260,2236,2259,400,400,400,3431,400,400,400,400,400,0,0,19.230770111083984,0,0,0,0,0,0,0,0,0,3.7037036418914795,0,0,0,0,0,0,0,0,16376,15995,8986,42,0,58555.648864746094,43085.94763183594,1921.3267822265625,33336795136,0,6612054016,0
200,1771558359768,399,550,400,400,399,2199,1854,1518,2260,2236,2259,400,400,400,3431,400,400,400,400,400,2.5,0,12.5,0,0,0,0,2.5,2.5,0,0,0,48.71794891357422,0,0,0,27.5,0,2.5,0,0,16376,15995,8986,42,0,58558.531188964844,43087.37823486328,1921.3267822265625,33336795136,0,6615179264,0
200,1771558359968,399,550,400,400,399,2199,1854,1518,2260,2236,2259,400,400,400,3431,400,400,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,100,0,0,0,0,16376,15995,8991,43,0,58561.314025878906,43088.71014404297,1921.3267822265625,33336795136,0,6635032576,0
199,1771558360168,399,550,400,400,399,2199,1854,1518,2260,2236,2259,400,400,400,3431,400,400,400,400,400,0,0,0,0,0,0,4.761904716491699,0,5,0,0,0,0,0,10,0,61.11111068725586,0,0,0,0,16376,15995,8991,43,0,58563.40301513672,43089.32147216797,1921.3267822265625,33336795136,0,6646636544,0
199,1771558360369,399,550,400,400,399,2199,1854,1518,2260,2236,2259,400,400,400,3431,400,400,400,400,400,10,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,10.526315689086914,0,50,0,0,0,0,16376,15995,8991,43,0,58565.46337890625,43089.871154785156,1921.3267822265625,33336795136,0,6656491520,0
199,1771558360569,399,550,400,400,399,2199,1854,1518,2260,2236,2259,400,400,400,3431,400,400,400,400,400,0,4.761904716491699,4.761904716491699,0,0,0,9.523809432983398,0,5,0,0,0,0,0,19.047618865966797,0,20,0,5,4.761904716491699,0,16376,15995,8991,43,0,58567.03448486328,43090.00372314453,1921.3267822265625,33336795136,0,6659530752,0
199,1771558360769,399,550,400,400,399,2199,1854,1518,2260,2236,2259,400,400,400,3431,400,400,400,400,400,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,10.526315689086914,0,0,0,0,0,0,16376,15995,8991,43,0,58568.45300292969,43090.040466308594,1921.3267822265625,33336795136,0,6659530752,0
199,1771558360969,399,550,400,400,399,2199,1854,1518,2260,2236,2259,400,400,400,3431,400,400,400,400,400,0,0,4.761904716491699,0,0,0,0,0,5,0,0,0,0,0,10,0,9.523809432983398,0,0,0,0,16376,15995,8995,43,0,58569.92169189453,43090.083984375,1921.3267822265625,33336795136,0,6659530752,0
199,1771558361169,399,550,400,400,399,2199,1854,1518,2260,2236,2259,400,400,400,3431,400,400,400,400,400,0,0,5,0,0,0,0,0,9.523809432983398,0,0,0,0,0,20,0,10,0,0,0,0,16376,15995,8995,43,0,58571.43572998047,43090.16784667969,1921.3267822265625,33336795136,0,6651514880,0
