Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771556591153,450,400,400,571,699,400,699,700,700,699,700,699,942,400,696,400,437,400,471,497,6.060606002807617,6.25,6.25,6.25,6.25,6.25,18.18181800842285,9.090909004211426,6.25,9.090909004211426,9.090909004211426,6.25,15.15151596069336,3.125,12.5,11.764705657958984,9.375,6.060606002807617,6.45161247253418,12.5,0,16376,9349,9038,42,0,43260.368225097656,40790.51086425781,1921.1331176757813,33336795136,0,6565031936,0
200,1771556591153,450,400,400,571,699,400,699,700,700,699,700,699,942,400,696,400,437,400,471,497,6.060606002807617,6.25,6.25,6.25,6.25,6.25,18.18181800842285,9.090909004211426,6.25,9.090909004211426,9.090909004211426,6.25,15.15151596069336,3.125,12.5,11.764705657958984,9.375,6.060606002807617,6.45161247253418,12.5,0,16376,9349,9038,42,0,43260.59161376953,40790.56579589844,1921.1331176757813,33336795136,0,6568759296,0
199,1771556591353,450,400,400,571,699,400,699,700,700,699,700,699,942,400,696,400,437,400,471,497,0,0,7.407407283782959,0,0,0,0,0,7.692307949066162,0,0,0,11.538461685180664,0,57.69230651855469,0,7.692307949066162,0,11.538461685180664,0,0,16376,9349,9038,42,0,43263.04626464844,40791.49774169922,1921.1331176757813,33336795136,0,6675390464,0
200,1771556591553,450,400,400,571,699,400,699,700,700,699,700,699,942,400,696,400,437,400,471,497,9.523809432983398,5,5.263157844543457,10,0,5,0,0,4.761904716491699,0,0,0,20,0,70,0,84.21052551269531,0,4.761904716491699,0,0,16376,9349,9054,42,0,43266.53436279297,40793.463623046875,1921.1331176757813,33336795136,0,6682329088,0
200,1771556591753,450,400,400,571,699,400,699,700,700,699,700,699,942,400,696,400,437,400,471,497,26.3157901763916,4.761904716491699,0,0,4.761904716491699,4.761904716491699,0,0,5,0,5,5,47.36842346191406,0,70,5,30.000001907348633,30.000001907348633,15.000000953674316,0,0,16376,9349,9044,43,0,43269.88116455078,40795.244201660156,1921.1334228515625,33336795136,0,6822395904,0
200,1771556591953,450,400,400,571,699,400,699,700,700,699,700,699,942,400,696,400,437,400,471,497,10,0,0,0,0,0,0,0,0,0,0,0,5,0,95,0,0,70,0,0,0,16376,508,9290,43,100,43272.44940185547,40796.32067871094,1921.1334228515625,33336795136,0,6328815616,0
200,1771556592153,450,400,400,571,699,400,699,700,700,699,700,699,942,400,696,400,437,400,471,497,26.3157901763916,0,0,10,9.523809432983398,0,5,14.285715103149414,0,4.761904716491699,0,4.761904716491699,10,0,60.000003814697266,0,65,0,5,0,0,16376,508,10181,43,100,43274.81903076172,40797.108825683594,1921.1334228515625,33336795136,0,6368575488,0
200,1771556592353,450,400,400,571,699,400,699,700,700,699,700,699,942,400,696,400,437,400,471,497,4.761904716491699,0,5,0,10,0,4.761904716491699,0,5,0,4.761904716491699,0,10,0,52.6315803527832,0,35,0,0,0,0,16376,508,11712,43,91,43277.079833984375,40797.77478027344,1921.1334228515625,33336795136,0,6332825600,0
200,1771556592553,450,400,400,571,699,400,699,700,700,699,700,699,942,400,696,400,437,400,471,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,5,0,0,0,0,16376,508,15228,43,0,43279.901916503906,40798.96813964844,1921.1334228515625,33336795136,0,6374498304,0
200,1771556592753,450,400,400,571,699,400,699,700,700,699,700,699,942,400,696,400,437,400,471,497,5,0,0,0,0,0,0,0,0,0,0,0,45,0,10,15.000000953674316,20,0,0,0,0,16376,508,18276,44,0,43282.24206542969,40799.536071777344,1921.1334228515625,33336795136,0,6374035456,0
199,1771556592954,450,400,400,571,699,400,699,700,700,699,700,699,942,400,696,400,437,400,471,497,0,0,14.285715103149414,5,4.761904716491699,0,4.761904716491699,0,0,0,0,0,35,0,21.052631378173828,31.57894515991211,5,0,0,0,0,16376,508,21371,44,0,43284.66912841797,40800.20098876953,1921.1334228515625,33336795136,0,6366318592,0
200,1771556593154,450,400,400,571,699,400,699,700,700,699,700,699,942,400,696,400,437,400,471,497,25,0,0,0,0,0,4.761904716491699,0,0,0,0,0,10,0,10,23.809524536132813,36.842105865478516,0,0,0,0,16376,508,24014,44,0,43287.15124511719,40800.91149902344,1921.1334228515625,33336795136,0,6310916096,0
200,1771556593354,450,400,400,571,699,400,699,700,700,699,700,699,942,400,696,400,437,400,471,497,0,0,0,0,0,0,0,0,9.523809432983398,0,0,0,0,4.761904716491699,5,26.3157901763916,52.6315803527832,0,14.285715103149414,0,0,16376,508,25173,44,0,43289.66650390625,40801.66375732422,1921.1334228515625,33336795136,0,6275891200,0
200,1771556593554,450,400,400,571,699,400,699,700,700,699,700,699,942,400,696,400,437,400,471,497,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9.523809432983398,23.809524536132813,65,0,0,0,0,16376,508,25173,44,0,43292.384521484375,40802.610107421875,1921.1334228515625,33336795136,0,6254235648,0
200,1771556593754,450,400,400,571,699,400,699,700,700,699,700,699,942,400,696,400,437,400,471,497,4.761904716491699,0,0,0,0,0,15.000000953674316,0,0,0,0,0,5,0,5,25,57.142860412597656,0,0,0,0,16376,508,25173,44,0,43294.934631347656,40803.398681640625,1921.1334228515625,33336795136,0,6250422272,0
200,1771556593954,450,400,400,571,699,400,699,700,700,699,700,699,942,400,696,400,437,400,471,497,0,5,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,26.3157901763916,65,0,4.761904716491699,0,0,16376,508,25173,44,0,43297.608825683594,40804.297119140625,1921.1334228515625,33336795136,0,6265565184,0
199,1771556594154,450,400,400,571,699,400,699,700,700,699,700,699,942,400,696,400,437,400,471,497,0,10,0,0,0,0,5.263157844543457,4.761904716491699,4.761904716491699,0,0,0,0,0,9.523809432983398,30.000001907348633,52.6315803527832,0,0,0,0,16376,508,25173,44,0,43300.17071533203,40805.090576171875,1921.1334228515625,33336795136,0,6279708672,0
