Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771551274154,772,503,813,450,699,700,700,700,700,700,1062,602,554,593,999,411,747,400,641,400,21.62162208557129,2.6315789222717285,5.405405521392822,5.128205299377441,15.789472579956055,13.1578950881958,10.256410598754883,7.692307949066162,21.052631378173828,8.108107566833496,15.000000953674316,7.692307949066162,5.128205299377441,7.894736289978027,5.263157844543457,5.128205299377441,5.263157844543457,5.263157844543457,10.810811042785645,7.692307949066162,0,16376,9349,5194,42,0,259716.78173828125,34121.14538574219,1920.5062255859375,33336795136,0,6276521984,0
199,1771551274154,772,503,813,450,699,700,700,700,700,700,1062,602,554,593,999,411,747,400,641,400,21.62162208557129,2.6315789222717285,5.405405521392822,5.128205299377441,15.789472579956055,13.1578950881958,10.256410598754883,7.692307949066162,21.052631378173828,8.108107566833496,15.000000953674316,7.692307949066162,5.128205299377441,7.894736289978027,5.263157844543457,5.128205299377441,5.263157844543457,5.263157844543457,10.810811042785645,7.692307949066162,0,16376,9349,5194,42,0,259717.0322265625,34121.21221923828,1920.5062255859375,33336795136,0,6308716544,0
200,1771551274354,772,503,813,450,699,700,700,700,700,700,1062,602,554,593,999,411,747,400,641,400,20.689655303955078,0,7.407407283782959,0,3.5714287757873535,0,0,0,3.5714287757873535,0,3.5714287757873535,0,7.407407283782959,0,46.153846740722656,0,17.85714340209961,0,21.428571701049805,0,0,16376,9349,5413,42,0,259719.59442138672,34122.25213623047,1920.5062255859375,33336795136,0,6401380352,0
199,1771551274554,772,503,813,450,699,700,700,700,700,700,1062,602,554,593,999,411,747,400,641,400,15.000000953674316,0,4.761904716491699,0,4.761904716491699,4.761904716491699,0,9.523809432983398,0,4.761904716491699,0,14.285715103149414,10.526315689086914,0,85,5,4.761904716491699,0,10,0,0,16376,9349,5451,42,0,259722.29486083984,34123.42547607422,1920.5062255859375,33336795136,0,6314127360,0
199,1771551274755,772,503,813,450,699,700,700,700,700,700,1062,602,554,593,999,411,747,400,641,400,0,0,5,0,0,0,5,0,0,0,0,0,5,0,84.21052551269531,0,5.263157844543457,0,10,0,0,16376,9349,5872,42,0,259724.7686767578,34124.370544433594,1920.5062255859375,33336795136,0,6428053504,0
199,1771551274955,772,503,813,450,699,700,700,700,700,700,1062,602,554,593,999,411,747,400,641,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.95238494873047,0,19.047618865966797,0,20,0,0,16376,9349,5847,42,0,259727.6636352539,34125.697021484375,1920.5062255859375,33336795136,0,6456332288,0
200,1771551275155,772,503,813,450,699,700,700,700,700,700,1062,602,554,593,999,411,747,400,641,400,0,0,0,4.761904716491699,9.523809432983398,0,4.761904716491699,0,4.761904716491699,0,0,0,14.285715103149414,0,70,0,31.57894515991211,0,5.263157844543457,0,0,16376,9349,5834,42,0,259730.10540771484,34126.484802246094,1920.5062255859375,33336795136,0,6449520640,0
200,1771551275355,772,503,813,450,699,700,700,700,700,700,1062,602,554,593,999,411,747,400,641,400,0,0,15.000000953674316,0,5.263157844543457,0,0,0,0,0,0,0,0,0,50,0,20,0,4.761904716491699,0,0,16376,9349,5827,42,0,259732.45544433594,34127.206787109375,1920.5062255859375,33336795136,0,6477271040,0
200,1771551275555,772,503,813,450,699,700,700,700,700,700,1062,602,554,593,999,411,747,400,641,400,4.761904716491699,0,0,0,5,0,0,0,0,0,0,0,0,0,63.15789031982422,0,10,0,40,0,0,16376,9349,5827,42,0,259734.99139404297,34128.08361816406,1920.506591796875,33336795136,0,6392217600,0
200,1771551275755,772,503,813,450,699,700,700,700,700,700,1062,602,554,593,999,411,747,400,641,400,0,0,0,0,5,0,0,0,4.761904716491699,0,0,0,0,4.761904716491699,57.894737243652344,0,20,0,19.047618865966797,0,0,16376,9349,5827,42,0,259737.51458740234,34128.961364746094,1920.506591796875,33336795136,0,6395432960,0
