Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771559725114,734,400,588,400,863,869,881,869,772,837,875,873,1164,400,899,400,972,400,1167,468,4.545454502105713,0,4.545454502105713,0,0,9.090909004211426,14.285715103149414,8.69565200805664,8.69565200805664,4.545454502105713,4.545454502105713,0,4.34782600402832,0,13.636363983154297,0,0,4.34782600402832,9.090909004211426,0,0,16376,15995,9101,44,0,69788.43835449219,44443.567626953125,1921.4852905273438,33336795136,0,6598336512,0
200,1771559725114,734,400,588,400,863,869,881,869,772,837,875,873,1164,400,899,400,972,400,1167,468,4.545454502105713,0,4.545454502105713,0,0,9.090909004211426,14.285715103149414,8.69565200805664,8.69565200805664,4.545454502105713,4.545454502105713,0,4.34782600402832,0,13.636363983154297,0,0,4.34782600402832,9.090909004211426,0,0,16376,15995,9101,44,0,69788.70690917969,44443.635314941406,1921.4852905273438,33336795136,0,6620712960,0
199,1771559725314,734,400,588,400,863,869,881,869,772,837,875,873,1164,400,899,400,972,400,1167,468,0,0,3.4482758045196533,0,3.5714287757873535,3.5714287757873535,0,3.5714287757873535,3.5714287757873535,0,0,6.896551609039307,11.111111640930176,0,64.28571319580078,0,7.142857551574707,0,10.714285850524902,0,0,16376,15995,9101,44,0,69791.2099609375,44444.59765625,1921.4852905273438,33336795136,0,6711660544,0
199,1771559725514,734,400,588,400,863,869,881,869,772,837,875,873,1164,400,899,400,972,400,1167,468,19.047618865966797,0,0,0,0,5,34.78260803222656,0,0,5,0,0,5,0,71.42857360839844,5,23.809524536132813,0,10.526315689086914,0,0,16376,15995,9109,44,0,69793.66711425781,44445.53192138672,1921.4852905273438,33336795136,0,6692253696,0
200,1771559725715,734,400,588,400,863,869,881,869,772,837,875,873,1164,400,899,400,972,400,1167,468,5,0,4.761904716491699,0,0,5,0,0,5,0,10,0,35,0,42.105262756347656,10,45,0,4.761904716491699,0,0,16376,15995,9105,44,0,69796.08361816406,44446.38836669922,1921.4852905273438,33336795136,0,6777835520,0
199,1771559725915,734,400,588,400,863,869,881,869,772,837,875,873,1164,400,899,400,972,400,1167,468,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,10,100,0,0,0,0,16376,15995,9103,44,0,69798.48724365234,44447.22644042969,1921.4852905273438,33336795136,0,6539804672,0
200,1771559726115,734,400,588,400,863,869,881,869,772,837,875,873,1164,400,899,400,972,400,1167,468,4.761904716491699,0,0,0,19.047618865966797,10.526315689086914,0,0,0,5,5.263157844543457,0,20,0,10.526315689086914,14.285715103149414,100,0,4.761904716491699,0,0,16376,508,9104,44,3,69800.89001464844,44448.036071777344,1921.4852905273438,33336795136,0,6352142336,0
199,1771559726315,734,400,588,400,863,869,881,869,772,837,875,873,1164,400,899,400,972,400,1167,468,0,0,0,4.761904716491699,0,0,0,0,0,4.761904716491699,0,0,0,0,50,28.571430206298828,72.7272720336914,0,5.263157844543457,0,0,16376,508,9626,44,100,69803.58923339844,44449.1044921875,1921.4852905273438,33336795136,0,6341197824,0
199,1771559726515,734,400,588,400,863,869,881,869,772,837,875,873,1164,400,899,400,972,400,1167,468,5.263157844543457,0,0,0,0,0,10,0,5,0,4.761904716491699,5.263157844543457,4.761904716491699,0,33.333335876464844,5.263157844543457,27.77777862548828,0,9.523809432983398,0,0,16376,508,13973,44,100,69805.84210205078,44449.72314453125,1921.4852905273438,33336795136,0,6277779456,0
199,1771559726715,734,400,588,400,863,869,881,869,772,837,875,873,1164,400,899,400,972,400,1167,468,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,10.526315689086914,5,85,0,0,0,0,16376,508,18601,45,0,69808.72717285156,44450.997131347656,1921.4852905273438,33336795136,0,6325174272,0
200,1771559726915,734,400,588,400,863,869,881,869,772,837,875,873,1164,400,899,400,972,400,1167,468,0,0,0,0,5,0,0,0,0,0,0,0,0,0,66.66667175292969,10,0,0,0,0,0,16376,508,22379,45,0,69811.4017944336,44451.940185546875,1921.4852905273438,33336795136,0,6337880064,0
199,1771559727115,734,400,588,400,863,869,881,869,772,837,875,873,1164,400,899,400,972,400,1167,468,4.761904716491699,0,0,0,0,0,10.526315689086914,0,0,0,0,0,10,0,15.000000953674316,0,60.000003814697266,0,0,0,0,16376,508,26184,45,0,69813.90985107422,44452.706970214844,1921.4852905273438,33336795136,0,6314491904,0
200,1771559727315,734,400,588,400,863,869,881,869,772,837,875,873,1164,400,899,400,972,400,1167,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.523809432983398,100,0,0,0,0,16376,535,29695,45,0,69816.7172241211,44453.84130859375,1921.4852905273438,33336795136,0,6389800960,0
199,1771559727515,734,400,588,400,863,869,881,869,772,837,875,873,1164,400,899,400,972,400,1167,468,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,5,9.523809432983398,100,0,0,0,0,16376,8357,31886,45,97,69819.86376953125,44454.89794921875,1921.4852905273438,33336795136,0,6424276992,0
200,1771559727715,734,400,588,400,863,869,881,869,772,837,875,873,1164,400,899,400,972,400,1167,468,0,0,0,0,0,0,0,0,0,5,0,0,0,0,33.333335876464844,5.263157844543457,100,0,10,0,0,16376,8357,31527,45,97,69823.36102294922,44456.193420410156,1921.4852905273438,33336795136,0,6412402688,0
200,1771559727915,734,400,588,400,863,869,881,869,772,837,875,873,1164,400,899,400,972,400,1167,468,0,0,0,0,4.761904716491699,0,0,4.761904716491699,4.761904716491699,0,0,0,0,0,5,5,100,0,0,0,0,16376,8357,32264,45,97,69826.50524902344,44457.18621826172,1921.4852905273438,33336795136,0,6412402688,0
200,1771559728116,734,400,588,400,863,869,881,869,772,837,875,873,1164,400,899,400,972,400,1167,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.263157844543457,100,0,0,0,0,16376,8357,32703,45,9,69829.50427246094,44458.227294921875,1921.4852905273438,33336795136,0,6412402688,0
200,1771559728316,734,400,588,400,863,869,881,869,772,837,875,873,1164,400,899,400,972,400,1167,468,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4.761904716491699,9.523809432983398,85,0,0,0,0,16376,9343,32853,45,1,69832.15734863281,44459.211853027344,1921.4852905273438,33336795136,0,6603505664,0
199,1771559728516,734,400,588,400,863,869,881,869,772,837,875,873,1164,400,899,400,972,400,1167,468,0,0,0,0,0,4.761904716491699,0,4.761904716491699,0,0,0,0,0,0,0,14.285715103149414,0,0,5,0,0,16376,9343,32430,48,0,69833.77606201172,44459.230407714844,1921.4852905273438,33336795136,0,6611681280,0
200,1771559728716,734,400,588,400,863,869,881,869,772,837,875,873,1164,400,899,400,972,400,1167,468,0,0,0,0,0,4.761904716491699,0,4.761904716491699,0,0,0,0,0,0,0,14.285715103149414,0,0,5,0,0,16376,9349,41570,48,95,69836.24645996094,44460.13690185547,1921.4852905273438,33336795136,0,6612107264,0
200,1771559728916,734,400,588,400,863,869,881,869,772,837,875,873,1164,400,899,400,972,400,1167,468,10,0,0,0,0,0,2.4390242099761963,0,2.5,0,0,0,0,0,2.5,7.692307949066162,100,0,0,0,0,16376,9349,50250,48,96,69838.86041259766,44461.162109375,1921.4852905273438,33336795136,0,6616174592,0
39,1771559729117,734,400,588,400,863,869,881,869,772,837,875,873,1164,400,899,400,972,400,1167,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.000000953674316,0,78.94737243652344,0,0,0,0,16376,9349,56898,47,56,69841.34490966797,44462.05334472656,1921.4852905273438,33336795136,0,6616031232,0
