Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771549564009,400,400,400,400,1066,400,699,1787,596,2157,1072,2039,400,400,3357,400,400,400,494,419,8.333333969116211,4.34782600402832,8.69565200805664,0,17.39130401611328,0,8.333333969116211,4.34782600402832,4.545454502105713,0,9.090909004211426,4.545454502105713,4.34782600402832,4.34782600402832,19.047618865966797,4.34782600402832,9.090909004211426,8.333333969116211,22.72727394104004,0,0,16376,15995,5246,42,0,245120.42626953125,32051.602661132813,1920.3046264648438,33336795136,0,6206550016,0
200,1771549564009,400,400,400,400,1066,400,699,1787,596,2157,1072,2039,400,400,3357,400,400,400,494,419,8.333333969116211,4.34782600402832,8.69565200805664,0,17.39130401611328,0,8.333333969116211,4.34782600402832,4.545454502105713,0,9.090909004211426,4.545454502105713,4.34782600402832,4.34782600402832,19.047618865966797,4.34782600402832,9.090909004211426,8.333333969116211,22.72727394104004,0,0,16376,15995,5246,42,0,245120.64624023438,32051.629516601563,1920.3046264648438,33336795136,0,6232137728,0
200,1771549564209,400,400,400,400,1066,400,699,1787,596,2157,1072,2039,400,400,3357,400,400,400,494,419,4,7.407407283782959,12,0,7.692307949066162,7.692307949066162,0,4,11.111111640930176,7.692307949066162,0,0,11.538461685180664,7.692307949066162,24,0,44,0,8,0,0,16376,15995,11214,44,100,245123.15423583984,32052.60235595703,1920.3046264648438,33336795136,0,6226243584,0
199,1771549564409,400,400,400,400,1066,400,699,1787,596,2157,1072,2039,400,400,3357,400,400,400,494,419,35,0,15.000000953674316,0,0,10,15.789472579956055,0,20,15.000000953674316,10,25,15.000000953674316,0,15.000000953674316,0,100,0,10,0,0,16376,15995,19402,45,68,245126.74114990234,32054.33172607422,1920.3046264648438,33336795136,0,6264745984,0
199,1771549564609,400,400,400,400,1066,400,699,1787,596,2157,1072,2039,400,400,3357,400,400,400,494,419,30.000001907348633,0,33.333335876464844,0,13.636363983154297,14.285715103149414,15.000000953674316,10,15.789472579956055,15.000000953674316,26.3157901763916,10,5.263157844543457,0,35,15.000000953674316,100,0,21.052631378173828,0,0,16376,15995,27011,45,60,245130.6664428711,32056.33135986328,1920.3046264648438,33336795136,0,6272983040,0
200,1771549564809,400,400,400,400,1066,400,699,1787,596,2157,1072,2039,400,400,3357,400,400,400,494,419,15.000000953674316,0,0,19.047618865966797,10.526315689086914,15.789472579956055,0,10,25,30.000001907348633,15.000000953674316,10,25,0,19.047618865966797,0,100,0,20,10,0,16376,15995,32682,45,60,245134.42742919922,32058.21417236328,1920.3046264648438,33336795136,0,6274052096,0
200,1771549565009,400,400,400,400,1066,400,699,1787,596,2157,1072,2039,400,400,3357,400,400,400,494,419,10,0,10.526315689086914,0,9.523809432983398,0,28.571430206298828,0,19.047618865966797,30.000001907348633,30.000001907348633,0,20,0,21.052631378173828,0,100,0,14.285715103149414,9.523809432983398,0,16376,15995,36950,45,60,245138.1162109375,32060.012084960938,1920.3046264648438,33336795136,0,6278189056,0
200,1771549565210,400,400,400,400,1066,400,699,1787,596,2157,1072,2039,400,400,3357,400,400,400,494,419,10,40,0,0,10.526315689086914,4.761904716491699,26.3157901763916,5,36.842105865478516,36.842105865478516,0,0,25,0,10.526315689086914,0,36.842105865478516,60.000003814697266,10,10,0,16376,15995,40380,46,60,245141.8604736328,32061.87109375,1920.3046264648438,33336795136,0,6283685888,0
200,1771549565410,400,400,400,400,1066,400,699,1787,596,2157,1072,2039,400,400,3357,400,400,400,494,419,20,4.761904716491699,15.000000953674316,0,5,5.263157844543457,20,0,25,14.285715103149414,20,0,5,0,25,0,0,100,10.526315689086914,20,0,16376,15995,71105,46,60,245145.54565429688,32063.66339111328,1920.3046264648438,33336795136,0,6283292672,0
200,1771549565610,400,400,400,400,1066,400,699,1787,596,2157,1072,2039,400,400,3357,400,400,400,494,419,15.789472579956055,0,21.052631378173828,0,10,9.523809432983398,15.000000953674316,0,19.047618865966797,20,25,0,10.526315689086914,0,15.789472579956055,0,0,100,30.000001907348633,0,0,16376,15995,72095,46,60,245149.3280029297,32065.566345214844,1920.3046264648438,33336795136,0,6277201920,0
