Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771550306320,1167,400,2476,400,1977,1941,1917,1918,2224,400,399,1280,400,400,3799,400,3338,400,2072,489,2.702702760696411,5.405405521392822,12.820513725280762,2.777777910232544,10.810811042785645,7.692307949066162,5.405405521392822,7.894736289978027,10.526315689086914,13.1578950881958,8.108107566833496,7.894736289978027,15.789472579956055,2.702702760696411,15.384615898132324,5.128205299377441,8.108107566833496,10.526315689086914,8.108107566833496,2.702702760696411,0,16376,15995,5264,43,0,251597.01232910156,33074.102111816406,1920.3863525390625,33336795136,0,6325227520,0
200,1771550306320,1167,400,2476,400,1977,1941,1917,1918,2224,400,399,1280,400,400,3799,400,3338,400,2072,489,2.702702760696411,5.405405521392822,12.820513725280762,2.777777910232544,10.810811042785645,7.692307949066162,5.405405521392822,7.894736289978027,10.526315689086914,13.1578950881958,8.108107566833496,7.894736289978027,15.789472579956055,2.702702760696411,15.384615898132324,5.128205299377441,8.108107566833496,10.526315689086914,8.108107566833496,2.702702760696411,0,16376,15995,5264,43,0,251597.23114013672,33074.14385986328,1920.3863525390625,33336795136,0,6334918656,0
199,1771550306520,1167,400,2476,400,1977,1941,1917,1918,2224,400,399,1280,400,400,3799,400,3338,400,2072,489,13.793103218078613,0,7.407407283782959,0,3.5714287757873535,7.407407283782959,0,0,7.142857551574707,3.5714287757873535,3.5714287757873535,0,0,17.85714340209961,40.74074172973633,3.7037036418914795,32.14285659790039,0,6.896551609039307,0,0,16376,15995,5264,43,0,251599.92431640625,33075.30236816406,1920.3863525390625,33336795136,0,6431842304,0
199,1771550306720,1167,400,2476,400,1977,1941,1917,1918,2224,400,399,1280,400,400,3799,400,3338,400,2072,489,5.263157844543457,0,0,0,0,0,0,0,0,0,0,0,0,35,75,0,10.526315689086914,65,10.526315689086914,0,0,16376,15995,5554,43,0,251603.14569091797,33077.00378417969,1920.3863525390625,33336795136,0,6356377600,0
200,1771550306920,1167,400,2476,400,1977,1941,1917,1918,2224,400,399,1280,400,400,3799,400,3338,400,2072,489,10.526315689086914,0,20,0,0,0,0,5,0,0,0,0,23.809524536132813,5,60.000003814697266,5,0,100,23.809524536132813,0,0,16376,15995,5687,43,0,251606.50244140625,33078.79235839844,1920.3863525390625,33336795136,0,6482804736,0
200,1771550307121,1167,400,2476,400,1977,1941,1917,1918,2224,400,399,1280,400,400,3799,400,3338,400,2072,489,9.523809432983398,0,10,0,0,0,0,0,4.761904716491699,0,0,0,0,40,95,0,0,36.842105865478516,0,0,0,16376,15995,5748,43,0,251609.18072509766,33079.88562011719,1920.3863525390625,33336795136,0,6236172288,0
199,1771550307321,1167,400,2476,400,1977,1941,1917,1918,2224,400,399,1280,400,400,3799,400,3338,400,2072,489,0,0,0,5,9.523809432983398,5,9.523809432983398,0,0,5,0,5,11.111111640930176,13.636363983154297,89.47368621826172,0,23.809524536132813,0,10.526315689086914,20,0,16376,508,6700,43,61,251611.79669189453,33080.91662597656,1920.3863525390625,33336795136,0,5968347136,0
199,1771550307521,1167,400,2476,400,1977,1941,1917,1918,2224,400,399,1280,400,400,3799,400,3338,400,2072,489,0,4.761904716491699,0,0,5.263157844543457,0,0,9.090909004211426,0,0,0,0,15.000000953674316,0,45,0,60.000003814697266,0,5,0,0,16376,508,8855,43,100,251614.1934814453,33081.66076660156,1920.3863525390625,33336795136,0,6071066624,0
200,1771550307721,1167,400,2476,400,1977,1941,1917,1918,2224,400,399,1280,400,400,3799,400,3338,400,2072,489,4.761904716491699,0,15.000000953674316,0,0,0,0,0,5,0,0,4.761904716491699,14.285715103149414,0,15.000000953674316,5,65,0,5,0,0,16376,508,15478,44,100,251616.68450927734,33082.53601074219,1920.3863525390625,33336795136,0,6138179584,0
200,1771550307921,1167,400,2476,400,1977,1941,1917,1918,2224,400,399,1280,400,400,3799,400,3338,400,2072,489,0,0,0,5,4.761904716491699,0,4.761904716491699,0,9.523809432983398,0,0,0,0,0,10,0,78.94737243652344,0,0,0,0,16376,508,20103,44,0,251619.32098388672,33083.50537109375,1920.3863525390625,33336795136,0,6195564544,0
