Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771559202830,463,562,400,400,863,846,849,793,848,870,862,765,1146,400,661,400,1767,400,488,400,3.125,2.941176414489746,3.125,3.0303030014038086,6.060606002807617,14.705883026123047,8.823529243469238,5.882352828979492,6.060606002807617,6.060606002807617,3.125,6.060606002807617,12.121212005615234,8.823529243469238,14.705883026123047,3.0303030014038086,9.375,0,5.882352828979492,3.0303030014038086,0,16376,6149,8947,43,0,65253.10205078125,43752.071228027344,1921.4242553710938,33336795136,0,6582079488,0
200,1771559202830,463,562,400,400,863,846,849,793,848,870,862,765,1146,400,661,400,1767,400,488,400,3.125,2.941176414489746,3.125,3.0303030014038086,6.060606002807617,14.705883026123047,8.823529243469238,5.882352828979492,6.060606002807617,6.060606002807617,3.125,6.060606002807617,12.121212005615234,8.823529243469238,14.705883026123047,3.0303030014038086,9.375,0,5.882352828979492,3.0303030014038086,0,16376,6149,8947,43,0,65253.31658935547,43752.12194824219,1921.4242553710938,33336795136,0,6585434112,0
200,1771559203031,463,562,400,400,863,846,849,793,848,870,862,765,1146,400,661,400,1767,400,488,400,3.846153974533081,0,7.692307949066162,0,3.846153974533081,4,7.692307949066162,8,7.407407283782959,3.846153974533081,7.142857551574707,3.846153974533081,30.76923179626465,0,57.69230651855469,0,3.846153974533081,0,12.5,0,0,16376,6149,8947,43,0,65255.92175292969,43753.19494628906,1921.4242553710938,33336795136,0,6724730880,0
200,1771559203231,463,562,400,400,863,846,849,793,848,870,862,765,1146,400,661,400,1767,400,488,400,0,0,5,0,5,0,0,0,5,0,0,0,15.000000953674316,0,84.21052551269531,0,95,0,5,0,0,16376,6149,8932,43,0,65259.058044433594,43754.811767578125,1921.4242553710938,33336795136,0,6708510720,0
200,1771559203431,463,562,400,400,863,846,849,793,848,870,862,765,1146,400,661,400,1767,400,488,400,4.761904716491699,0,0,0,0,0,0,0,0,4.761904716491699,5,0,23.809524536132813,0,95.23809814453125,0,90.47618865966797,0,0,0,0,16376,6149,8924,43,0,65262.049560546875,43756.280700683594,1921.4242553710938,33336795136,0,6757302272,0
199,1771559203631,463,562,400,400,863,846,849,793,848,870,862,765,1146,400,661,400,1767,400,488,400,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,5.263157844543457,0,100,0,25,61.904762268066406,0,0,0,16376,6149,8910,43,0,65265.10534667969,43757.821716308594,1921.4244995117188,33336795136,0,6814846976,0
200,1771559203831,463,562,400,400,863,846,849,793,848,870,862,765,1146,400,661,400,1767,400,488,400,0,0,4.761904716491699,0,0,0,9.523809432983398,0,5,0,0,0,10,0,100,0,10,35,0,0,0,16376,6164,8876,43,0,65267.77453613281,43758.91192626953,1921.4244995117188,33336795136,0,6865190912,0
200,1771559204031,463,562,400,400,863,846,849,793,848,870,862,765,1146,400,661,400,1767,400,488,400,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,5,0,85.71428680419922,0,10.526315689086914,0,0,0,0,16376,13998,11380,43,85,65270.526123046875,43759.719787597656,1921.4244995117188,33336795136,0,6887079936,0
200,1771559204231,463,562,400,400,863,846,849,793,848,870,862,765,1146,400,661,400,1767,400,488,400,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,100,0,5,0,0,0,0,16376,13998,15822,44,97,65273.660705566406,43760.7099609375,1921.4244995117188,33336795136,0,6903336960,0
200,1771559204432,463,562,400,400,863,846,849,793,848,870,862,765,1146,400,661,400,1767,400,488,400,0,0,0,0,0,9.523809432983398,0,0,5,0,0,4.761904716491699,0,0,100,0,15.000000953674316,0,4.761904716491699,0,0,16376,13998,20365,44,97,65276.76721191406,43761.6533203125,1921.4244995117188,33336795136,0,6903562240,0
