Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771905376698,400,1930,400,451,2548,2536,2503,2519,2468,2282,400,400,2078,400,974,400,1817,462,441,400,0,4.34782600402832,0,4.34782600402832,4.545454502105713,4.34782600402832,4.34782600402832,12.5,8.69565200805664,0,0,0,4.34782600402832,8.333333969116211,4.34782600402832,0,8.69565200805664,8.333333969116211,0,0,0,16376,5611,5070,41,0,183422.47790527344,13389.037353515625,265.1512451171875,33336799232,0,5788372992,0
200,1771905376698,400,1930,400,451,2548,2536,2503,2519,2468,2282,400,400,2078,400,974,400,1817,462,441,400,0,4.34782600402832,0,4.34782600402832,4.545454502105713,4.34782600402832,4.34782600402832,12.5,8.69565200805664,0,0,0,4.34782600402832,8.333333969116211,4.34782600402832,0,8.69565200805664,8.333333969116211,0,0,0,16376,5611,5070,41,0,183422.73071289063,13389.123413085938,265.1512451171875,33336799232,0,5779795968,0
200,1771905376898,400,1930,400,451,2548,2536,2503,2519,2468,2282,400,400,2078,400,974,400,1817,462,441,400,7.692307949066162,3.846153974533081,3.846153974533081,0,11.538461685180664,4,0,0,3.846153974533081,15.384615898132324,3.846153974533081,0,30.76923179626465,3.846153974533081,12,0,48,0,4.1666669845581055,7.692307949066162,0,16376,5611,5070,41,0,183425.03491210938,13389.907897949219,265.1512451171875,33336799232,0,5916803072,0
200,1771905377098,400,1930,400,451,2548,2536,2503,2519,2468,2282,400,400,2078,400,974,400,1817,462,441,400,5,0,5,0,0,0,0,0,5,0,0,0,30.000001907348633,0,0,0,70,0,5,0,0,16376,5611,5349,41,0,183427.67498779297,13391.06396484375,265.1512451171875,33336799232,0,5818474496,0
199,1771905377299,400,1930,400,451,2548,2536,2503,2519,2468,2282,400,400,2078,400,974,400,1817,462,441,400,0,4.761904716491699,5,0,0,10,4.761904716491699,9.523809432983398,0,5.263157844543457,0,0,0,0,10.526315689086914,0,75,0,36.3636360168457,0,0,16376,508,6276,41,49,183429.83465576172,13391.683166503906,265.1512451171875,33336799232,0,5522763776,0
200,1771905377499,400,1930,400,451,2548,2536,2503,2519,2468,2282,400,400,2078,400,974,400,1817,462,441,400,0,0,0,0,0,4.761904716491699,0,0,0,9.523809432983398,4.761904716491699,0,0,0,0,0,100,0,45,0,0,16376,508,6769,41,100,183432.59765625,13392.97265625,265.1512451171875,33336799232,0,5506793472,0
199,1771905377699,400,1930,400,451,2548,2536,2503,2519,2468,2282,400,400,2078,400,974,400,1817,462,441,400,15.000000953674316,0,10,0,0,0,5.263157844543457,0,0,5,0,0,10,0,42.85714340209961,0,89.47368621826172,0,63.15789031982422,0,0,16376,508,8501,41,10,183435.79455566406,13394.521118164063,265.1512451171875,33336799232,0,5523394560,0
199,1771905377899,400,1930,400,451,2548,2536,2503,2519,2468,2282,400,400,2078,400,974,400,1817,462,441,400,10,0,0,0,0,10,4.761904716491699,9.523809432983398,9.523809432983398,0,0,0,5.263157844543457,9.523809432983398,80.95238494873047,0,23.809524536132813,0,0,0,0,16376,508,10127,42,0,183438.66442871094,13395.768127441406,265.1512451171875,33336799232,0,5559885824,0
200,1771905378099,400,1930,400,451,2548,2536,2503,2519,2468,2282,400,400,2078,400,974,400,1817,462,441,400,0,0,0,0,5,0,0,0,0,0,0,0,5.263157844543457,0,57.894737243652344,0,19.047618865966797,0,0,0,0,16376,508,16223,42,0,183441.06182861328,13396.416931152344,265.1512451171875,33336799232,0,5518868480,0
200,1771905378299,400,1930,400,451,2548,2536,2503,2519,2468,2282,400,400,2078,400,974,400,1817,462,441,400,0,0,0,0,5,0,0,0,0,0,0,0,0,0,65,0,30.000001907348633,0,9.523809432983398,0,0,16376,508,19372,42,0,183443.69451904297,13397.298278808594,265.1512451171875,33336799232,0,5494226944,0
