Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771895081696,3800,3790,3800,400,1670,1641,400,1592,400,2495,2492,2493,2095,400,2015,447,400,3799,400,675,5.714285850524902,9.090909004211426,2.941176414489746,5.714285850524902,14.285715103149414,8.571429252624512,8.823529243469238,8.571429252624512,6.060606002807617,3.0303030014038086,2.941176414489746,2.857142925262451,5.714285850524902,17.142858505249023,8.333333969116211,2.857142925262451,5.714285850524902,11.428571701049805,5.714285850524902,5.714285850524902,0,16376,14941,5102,42,0,104601.96118164063,7419.8145751953125,263.88629150390625,33336799232,0,5580390400,0
200,1771895081697,3800,3790,3800,400,1670,1641,400,1592,400,2495,2492,2493,2095,400,2015,447,400,3799,400,675,5.714285850524902,9.090909004211426,2.941176414489746,5.714285850524902,14.285715103149414,8.571429252624512,8.823529243469238,8.571429252624512,6.060606002807617,3.0303030014038086,2.941176414489746,2.857142925262451,5.714285850524902,17.142858505249023,8.333333969116211,2.857142925262451,5.714285850524902,11.428571701049805,5.714285850524902,5.714285850524902,0,16376,14941,5102,42,0,104602.19580078125,7419.879333496094,263.88629150390625,33336799232,0,5585240064,0
200,1771895081897,3800,3790,3800,400,1670,1641,400,1592,400,2495,2492,2493,2095,400,2015,447,400,3799,400,675,3.846153974533081,3.846153974533081,3.846153974533081,0,4,7.407407283782959,7.692307949066162,4,10.714285850524902,3.7037036418914795,3.846153974533081,0,7.692307949066162,0,16,0,62.5,3.7037036418914795,0,0,0,16376,14941,5102,42,0,104604.38452148438,7420.568908691406,263.88629150390625,33336799232,0,5699919872,0
200,1771895082097,3800,3790,3800,400,1670,1641,400,1592,400,2495,2492,2493,2095,400,2015,447,400,3799,400,675,63.15789031982422,0,5,0,0,0,0,0,0,0,0,0,0,0,50,0,40,0,20,0,0,16376,14941,5412,42,0,104607.73986816406,7422.421142578125,263.88629150390625,33336799232,0,5656539136,0
200,1771895082297,3800,3790,3800,400,1670,1641,400,1592,400,2495,2492,2493,2095,400,2015,447,400,3799,400,675,5,0,0,0,5,0,0,4.761904716491699,0,5,5,5,40,0,71.42857360839844,0,80,0,14.285715103149414,5,0,16376,14941,6015,42,0,104610.55401611328,7423.67529296875,263.88629150390625,33336799232,0,5843759104,0
199,1771895082497,3800,3790,3800,400,1670,1641,400,1592,400,2495,2492,2493,2095,400,2015,447,400,3799,400,675,9.523809432983398,0,0,0,4.761904716491699,9.523809432983398,0,0,5,0,0,0,0,0,5.555555820465088,0,55,0,10.526315689086914,0,0,16376,508,7519,43,100,104612.42291259766,7424.044982910156,263.88629150390625,33336799232,0,5244809216,0
200,1771895082697,3800,3790,3800,400,1670,1641,400,1592,400,2495,2492,2493,2095,400,2015,447,400,3799,400,675,9.523809432983398,0,0,0,4.761904716491699,9.523809432983398,0,0,5,0,0,0,0,0,5.555555820465088,0,55,0,10.526315689086914,0,0,16376,508,10540,43,100,104614.65991210938,7424.6954345703125,263.88629150390625,33336799232,0,5492613120,0
200,1771895082897,3800,3790,3800,400,1670,1641,400,1592,400,2495,2492,2493,2095,400,2015,447,400,3799,400,675,10.256410598754883,0,0,0,0,0,2.5,2.5641026496887207,0,2.5,0,2.4390242099761963,2.5641026496887207,0,12.195121765136719,0,71.79487609863281,0,9.756096839904785,0,0,16376,508,13381,44,0,104617.46813964844,7425.902893066406,263.8863525390625,33336799232,0,5488144384,0
200,1771895083098,3800,3790,3800,400,1670,1641,400,1592,400,2495,2492,2493,2095,400,2015,447,400,3799,400,675,0,0,0,0,0,0,0,4.761904716491699,4.761904716491699,0,0,0,4.761904716491699,0,5,0,100,0,5.263157844543457,0,0,16376,4921,22150,44,3,104620.19818115234,7426.979064941406,263.8863525390625,33336799232,0,5551861760,0
199,1771895083298,3800,3790,3800,400,1670,1641,400,1592,400,2495,2492,2493,2095,400,2015,447,400,3799,400,675,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,9.523809432983398,0,100,0,0,0,0,16376,4921,27273,44,95,104623.3226928711,7427.971496582031,263.8863525390625,33336799232,0,5551861760,0
200,1771895083498,3800,3790,3800,400,1670,1641,400,1592,400,2495,2492,2493,2095,400,2015,447,400,3799,400,675,0,0,5,0,0,0,0,0,4.761904716491699,0,0,0,0,0,5.263157844543457,0,100,0,0,0,0,16376,4921,31786,44,79,104626.39849853516,7428.963073730469,263.8863525390625,33336799232,0,5551857664,0
199,1771895083698,3800,3790,3800,400,1670,1641,400,1592,400,2495,2492,2493,2095,400,2015,447,400,3799,400,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,78.94737243652344,0,0,0,0,16376,5605,33310,44,1,104629.01318359375,7429.91162109375,263.8863525390625,33336799232,0,5780692992,0
200,1771895083898,3800,3790,3800,400,1670,1641,400,1592,400,2495,2492,2493,2095,400,2015,447,400,3799,400,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,78.94737243652344,0,0,0,0,16376,5611,39756,47,93,104631.31964111328,7430.6512451171875,263.8863525390625,33336799232,0,5773062144,0
200,1771895084098,3800,3790,3800,400,1670,1641,400,1592,400,2495,2492,2493,2095,400,2015,447,400,3799,400,675,10,0,0,0,0,0,0,2.5,0,0,0,0,2.4390242099761963,2.5,92.5,0,2.5641026496887207,0,0,0,0,16376,5611,48972,47,93,104633.92175292969,7431.688232421875,263.8863525390625,33336799232,0,5775257600,0
200,1771895084298,3800,3790,3800,400,1670,1641,400,1592,400,2495,2492,2493,2095,400,2015,447,400,3799,400,675,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,100,0,0,0,10,0,0,16376,5611,57748,48,93,104636.5219116211,7432.725524902344,263.8863525390625,33336799232,0,5775257600,0
42,1771895084499,3800,3790,3800,400,1670,1641,400,1592,400,2495,2492,2493,2095,400,2015,447,400,3799,400,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,4.761904716491699,18.18181800842285,0,0,16376,5611,64379,46,52,104638.91223144531,7433.531188964844,263.8863525390625,33336799232,0,5768425472,0
