Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771900861328,400,2725,1292,400,1493,703,1443,1924,1907,2102,535,677,1108,400,2293,400,431,400,400,400,14.705883026123047,3.22580623626709,8.823529243469238,6.060606002807617,32.352943420410156,18.18181800842285,15.625,11.764705657958984,15.15151596069336,6.060606002807617,6.060606002807617,6.060606002807617,6.060606002807617,6.060606002807617,15.15151596069336,9.090909004211426,8.823529243469238,3.125,9.090909004211426,3.125,0,16376,8605,5092,42,0,148983.3338623047,10883.582824707031,264.59075927734375,33336799232,0,5632360448,0
200,1771900861328,400,2725,1292,400,1493,703,1443,1924,1907,2102,535,677,1108,400,2293,400,431,400,400,400,14.705883026123047,3.22580623626709,8.823529243469238,6.060606002807617,32.352943420410156,18.18181800842285,15.625,11.764705657958984,15.15151596069336,6.060606002807617,6.060606002807617,6.060606002807617,6.060606002807617,6.060606002807617,15.15151596069336,9.090909004211426,8.823529243469238,3.125,9.090909004211426,3.125,0,16376,8605,5092,42,0,148983.57012939453,10883.647583007813,264.59075927734375,33336799232,0,5641633792,0
200,1771900861528,400,2725,1292,400,1493,703,1443,1924,1907,2102,535,677,1108,400,2293,400,431,400,400,400,3.5714287757873535,0,11.111111640930176,0,0,7.142857551574707,0,0,0,7.142857551574707,10.344827651977539,0,0,0,40.74074172973633,0,40.74074172973633,0,3.5714287757873535,0,0,16376,8605,5217,42,0,148985.85150146484,10884.432800292969,264.59075927734375,33336799232,0,5749825536,0
200,1771900861728,400,2725,1292,400,1493,703,1443,1924,1907,2102,535,677,1108,400,2293,400,431,400,400,400,15.000000953674316,0,4.761904716491699,5,10.526315689086914,0,0,0,9.523809432983398,0,0,9.523809432983398,0,0,10.526315689086914,0,65,0,15.789472579956055,0,0,16376,8605,5567,42,0,148988.32916259766,10885.395812988281,264.59075927734375,33336799232,0,5668888576,0
199,1771900861928,400,2725,1292,400,1493,703,1443,1924,1907,2102,535,677,1108,400,2293,400,431,400,400,400,15.789472579956055,0,19.047618865966797,0,9.090909004211426,10,0,0,0,0,0,9.523809432983398,5,0,52.38095474243164,20,26.3157901763916,0,0,0,0,16376,508,6099,42,44,148990.63525390625,10886.148010253906,264.59075927734375,33336799232,0,5505167360,0
199,1771900862128,400,2725,1292,400,1493,703,1443,1924,1907,2102,535,677,1108,400,2293,400,431,400,400,400,4.761904716491699,0,0,0,0,0,0,4.761904716491699,0,10,4.761904716491699,0,0,0,42.105262756347656,0,25,0,0,0,0,16376,508,6990,42,100,148992.53680419922,10886.578125,264.5916748046875,33336799232,0,5278109696,0
200,1771900862328,400,2725,1292,400,1493,703,1443,1924,1907,2102,535,677,1108,400,2293,400,431,400,400,400,20,5,0,0,5.263157844543457,0,5,0,9.523809432983398,0,0,5,4.761904716491699,0,40,0,55,0,10,0,0,16376,508,9277,43,67,148994.79400634766,10887.212463378906,264.5916748046875,33336799232,0,5396344832,0
199,1771900862529,400,2725,1292,400,1493,703,1443,1924,1907,2102,535,677,1108,400,2293,400,431,400,400,400,5,4.761904716491699,0,0,4.761904716491699,0,0,0,0,0,0,0,10,0,95,0,50,4.761904716491699,0,0,0,16376,508,16583,43,0,148997.97296142578,10888.661071777344,264.5916748046875,33336799232,0,5577695232,0
199,1771900862729,400,2725,1292,400,1493,703,1443,1924,1907,2102,535,677,1108,400,2293,400,431,400,400,400,0,0,0,0,5,0,0,0,0,0,0,0,0,0,60.000003814697266,0,19.047618865966797,0,0,0,0,16376,508,20885,43,0,149000.60845947266,10889.526489257813,264.5916748046875,33336799232,0,5370478592,0
200,1771900862929,400,2725,1292,400,1493,703,1443,1924,1907,2102,535,677,1108,400,2293,400,431,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,15.000000953674316,0,10,0,0,16376,508,25192,43,0,149003.25860595703,10890.419860839844,264.5916748046875,33336799232,0,5370896384,0
199,1771900863129,400,2725,1292,400,1493,703,1443,1924,1907,2102,535,677,1108,400,2293,400,431,400,400,400,4.761904716491699,0,5,0,0,0,5,0,5,0,0,0,0,0,57.142860412597656,0,84.21052551269531,4.761904716491699,5,0,0,16376,508,29007,44,0,149005.98974609375,10891.419006347656,264.5916748046875,33336799232,0,5367349248,0
200,1771900863329,400,2725,1292,400,1493,703,1443,1924,1907,2102,535,677,1108,400,2293,400,431,400,400,400,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,15.789472579956055,50,78.94737243652344,0,5,0,0,16376,508,29811,44,0,149008.77459716797,10892.433288574219,264.59210205078125,33336799232,0,5277339648,0
199,1771900863529,400,2725,1292,400,1493,703,1443,1924,1907,2102,535,677,1108,400,2293,400,431,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,68.18181610107422,0,9.523809432983398,0,0,16376,508,29811,44,0,149011.49969482422,10893.378967285156,264.59210205078125,33336799232,0,5287079936,0
200,1771900863729,400,2725,1292,400,1493,703,1443,1924,1907,2102,535,677,1108,400,2293,400,431,400,400,400,0,0,0,0,0,0,14.285715103149414,0,0,0,0,0,0,0,0,25,55.55555725097656,0,5,0,0,16376,508,29811,44,0,149014.1596069336,10894.277221679688,264.59210205078125,33336799232,0,5300666368,0
199,1771900863929,400,2725,1292,400,1493,703,1443,1924,1907,2102,535,677,1108,400,2293,400,431,400,400,400,9.523809432983398,0,5,0,4.761904716491699,0,5,0,5,0,0,0,0,0,10.526315689086914,15.000000953674316,45,0,15.000000953674316,0,0,16376,508,29811,44,0,149016.6216430664,10894.972351074219,264.59210205078125,33336799232,0,5320159232,0
199,1771900864130,400,2725,1292,400,1493,703,1443,1924,1907,2102,535,677,1108,400,2293,400,431,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,26.3157901763916,0,15.789472579956055,0,0,16376,508,29811,44,0,149019.05291748047,10895.680969238281,264.59210205078125,33336799232,0,5325860864,0
200,1771900864330,400,2725,1292,400,1493,703,1443,1924,1907,2102,535,677,1108,400,2293,400,431,400,400,400,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,60.000003814697266,0,30.000001907348633,0,0,0,0,16376,508,27994,43,0,149021.64349365234,10896.596374511719,264.59210205078125,33336799232,0,5327106048,0
200,1771900864530,400,2725,1292,400,1493,703,1443,1924,1907,2102,535,677,1108,400,2293,400,431,400,400,400,4.761904716491699,0,0,0,5,0,0,0,0,0,0,0,0,0,63.15789031982422,0,33.333335876464844,0,5,0,0,16376,508,27994,43,0,149024.3458251953,10897.615844726563,264.59210205078125,33336799232,0,5316882432,0
199,1771900864730,400,2725,1292,400,1493,703,1443,1924,1907,2102,535,677,1108,400,2293,400,431,400,400,400,0,0,5,0,0,0,0,0,4.761904716491699,0,0,0,0,0,65,0,30.000001907348633,0,4.761904716491699,0,0,16376,508,27994,43,0,149026.99603271484,10898.577392578125,264.59210205078125,33336799232,0,5321043968,0
200,1771900864930,400,2725,1292,400,1493,703,1443,1924,1907,2102,535,677,1108,400,2293,400,431,400,400,400,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,19.047618865966797,65,15.000000953674316,0,0,0,0,16376,7917,24614,43,36,149029.64031982422,10899.478149414063,264.59210205078125,33336799232,0,5412347904,0
200,1771900865130,400,2725,1292,400,1493,703,1443,1924,1907,2102,535,677,1108,400,2293,400,431,400,400,400,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,100,5,0,0,0,0,16376,7917,25179,44,83,149032.6971435547,10900.49462890625,264.59210205078125,33336799232,0,5428330496,0
200,1771900865330,400,2725,1292,400,1493,703,1443,1924,1907,2102,535,677,1108,400,2293,400,431,400,400,400,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,100,5.263157844543457,0,0,0,0,16376,7917,24346,44,97,149035.8305053711,10901.487487792969,264.59210205078125,33336799232,0,5428330496,0
200,1771900865530,400,2725,1292,400,1493,703,1443,1924,1907,2102,535,677,1108,400,2293,400,431,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,9.523809432983398,0,0,0,0,16376,7917,25852,44,97,149038.94763183594,10902.467834472656,264.59210205078125,33336799232,0,5428330496,0
200,1771900865730,400,2725,1292,400,1493,703,1443,1924,1907,2102,535,677,1108,400,2293,400,431,400,400,400,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,95,26.3157901763916,0,0,0,0,16376,8487,26616,44,1,149042.0171508789,10903.700378417969,264.59210205078125,33336799232,0,5433802752,0
200,1771900865931,400,2725,1292,400,1493,703,1443,1924,1907,2102,535,677,1108,400,2293,400,431,400,400,400,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,5,0,0,16376,8605,35478,46,54,149044.50775146484,10904.56201171875,264.59210205078125,33336799232,0,5631655936,0
200,1771900866131,400,2725,1292,400,1493,703,1443,1924,1907,2102,535,677,1108,400,2293,400,431,400,400,400,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,100,0,10,0,0,16376,8605,44885,47,95,149046.9995727539,10905.493103027344,264.59210205078125,33336799232,0,5658513408,0
200,1771900866331,400,2725,1292,400,1493,703,1443,1924,1907,2102,535,677,1108,400,2293,400,431,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,10.526315689086914,0,0,16376,8605,53746,47,95,149049.62915039063,10906.557556152344,264.59210205078125,33336799232,0,5658771456,0
23,1771900866532,400,2725,1292,400,1493,703,1443,1924,1907,2102,535,677,1108,400,2293,400,431,400,400,400,4.761904716491699,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,14.285715103149414,0,25,0,4.761904716491699,0,0,16376,8605,55868,45,0,149051.51733398438,10906.866333007813,264.59210205078125,33336799232,0,5676285952,0
