Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771907269525,408,400,400,1133,842,818,802,841,796,546,841,845,400,482,1133,652,400,515,713,400,8.108107566833496,0,5.714285850524902,11.764705657958984,6.060606002807617,8.333333969116211,8.333333969116211,14.285715103149414,8.333333969116211,0,11.764705657958984,2.857142925262451,8.333333969116211,2.857142925262451,8.823529243469238,5.555555820465088,2.857142925262451,0,2.857142925262451,2.857142925262451,0,16376,8605,5119,41,0,197888.9112548828,14449.693725585938,265.39361572265625,33336799232,0,5730160640,0
200,1771907269525,408,400,400,1133,842,818,802,841,796,546,841,845,400,482,1133,652,400,515,713,400,8.108107566833496,0,5.714285850524902,11.764705657958984,6.060606002807617,8.333333969116211,8.333333969116211,14.285715103149414,8.333333969116211,0,11.764705657958984,2.857142925262451,8.333333969116211,2.857142925262451,8.823529243469238,5.555555820465088,2.857142925262451,0,2.857142925262451,2.857142925262451,0,16376,8605,5119,41,0,197889.23291015625,14449.790710449219,265.39361572265625,33336799232,0,5728698368,0
199,1771907269725,408,400,400,1133,842,818,802,841,796,546,841,845,400,482,1133,652,400,515,713,400,3.4482758045196533,0,0,0,12.90322494506836,3.3333334922790527,0,0,6.6666669845581055,10.344827651977539,0,3.4482758045196533,31.034481048583984,0,42.85714340209961,3.4482758045196533,13.793103218078613,0,0,0,0,16376,8605,5119,41,0,197891.3803100586,14450.445983886719,265.39361572265625,33336799232,0,5833347072,0
200,1771907269926,408,400,400,1133,842,818,802,841,796,546,841,845,400,482,1133,652,400,515,713,400,5,4.761904716491699,0,0,0,0,9.523809432983398,0,0,0,4.761904716491699,0,0,0,70,0,85,10,15.000000953674316,0,0,16376,8605,5434,42,0,197894.3358154297,14451.884826660156,265.39361572265625,33336799232,0,5756563456,0
199,1771907270126,408,400,400,1133,842,818,802,841,796,546,841,845,400,482,1133,652,400,515,713,400,5.263157844543457,5,19.047618865966797,0,21.052631378173828,0,0,0,15.000000953674316,0,0,0,21.052631378173828,0,57.142860412597656,5,0,66.66667175292969,10,0,0,16376,8605,6074,42,0,197897.13580322266,14453.142150878906,265.39361572265625,33336799232,0,5880426496,0
199,1771907270326,408,400,400,1133,842,818,802,841,796,546,841,845,400,482,1133,652,400,515,713,400,4.761904716491699,15.000000953674316,0,0,5.263157844543457,0,9.523809432983398,5,0,5,4.761904716491699,4.761904716491699,10,0,68.18181610107422,0,40,0,4.761904716491699,0,0,16376,508,7625,42,100,197899.1268310547,14453.592529296875,265.39361572265625,33336799232,0,5467889664,0
200,1771907270526,408,400,400,1133,842,818,802,841,796,546,841,845,400,482,1133,652,400,515,713,400,4.761904716491699,15.000000953674316,0,0,5.263157844543457,0,9.523809432983398,5,0,5,4.761904716491699,4.761904716491699,10,0,68.18181610107422,0,40,0,4.761904716491699,0,0,16376,508,10397,42,54,197901.26293945313,14454.148071289063,265.39361572265625,33336799232,0,5576605696,0
200,1771907270726,408,400,400,1133,842,818,802,841,796,546,841,845,400,482,1133,652,400,515,713,400,7.692307949066162,0,2.5,0,0,7.317072868347168,0,4.761904716491699,7.692307949066162,0,5,0,19.51219367980957,0,35.897438049316406,0,53.658538818359375,0,0,2.5641026496887207,0,16376,508,12716,43,0,197904.39453125,14455.545532226563,265.39361572265625,33336799232,0,5485129728,0
200,1771907270926,408,400,400,1133,842,818,802,841,796,546,841,845,400,482,1133,652,400,515,713,400,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5.555555820465088,10,66.66667175292969,0,0,4.761904716491699,0,16376,508,20897,43,0,197906.8116455078,14456.237854003906,265.39385986328125,33336799232,0,5482110976,0
199,1771907271126,408,400,400,1133,842,818,802,841,796,546,841,845,400,482,1133,652,400,515,713,400,5,0,0,0,5,0,0,0,0,0,0,0,0,0,10,25,55,0,0,0,0,16376,508,25266,43,0,197909.38494873047,14457.056762695313,265.39385986328125,33336799232,0,5456564224,0
200,1771907271326,408,400,400,1133,842,818,802,841,796,546,841,845,400,482,1133,652,400,515,713,400,5,0,0,0,5,0,0,0,0,0,0,0,0,0,10,25,55,0,0,0,0,16376,508,29049,43,0,197912.12231445313,14458.028076171875,265.39385986328125,33336799232,0,5466591232,0
199,1771907271526,408,400,400,1133,842,818,802,841,796,546,841,845,400,482,1133,652,400,515,713,400,0,0,0,0,0,0,5,0,2.5,0,0,0,7.317072868347168,0,0,25,65.8536605834961,0,0,0,0,16376,508,30379,43,0,197914.81030273438,14458.955322265625,265.39385986328125,33336799232,0,5449613312,0
199,1771907271726,408,400,400,1133,842,818,802,841,796,546,841,845,400,482,1133,652,400,515,713,400,5.263157844543457,0,0,0,0,0,5,0,0,0,0,0,31.57894515991211,0,0,25,30.000001907348633,0,0,0,0,16376,508,30379,43,0,197917.45153808594,14459.833679199219,265.39385986328125,33336799232,0,5456367616,0
199,1771907271927,408,400,400,1133,842,818,802,841,796,546,841,845,400,482,1133,652,400,515,713,400,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,9.523809432983398,0,14.285715103149414,25,63.15789031982422,0,0,0,0,16376,508,30379,43,0,197920.12298583984,14460.726379394531,265.39385986328125,33336799232,0,5452455936,0
200,1771907272127,408,400,400,1133,842,818,802,841,796,546,841,845,400,482,1133,652,400,515,713,400,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,5.263157844543457,21.052631378173828,61.904762268066406,0,0,0,0,16376,508,30379,43,0,197922.83477783203,14461.675598144531,265.39385986328125,33336799232,0,5466583040,0
199,1771907272327,408,400,400,1133,842,818,802,841,796,546,841,845,400,482,1133,652,400,515,713,400,0,0,0,0,9.523809432983398,0,5,0,4.761904716491699,4.761904716491699,0,0,0,0,0,28.571430206298828,65,0,0,0,0,16376,508,30379,43,0,197925.53643798828,14462.6474609375,265.39385986328125,33336799232,0,5473767424,0
200,1771907272527,408,400,400,1133,842,818,802,841,796,546,841,845,400,482,1133,652,400,515,713,400,10,0,0,0,14.285715103149414,0,15.789472579956055,0,0,0,0,0,0,0,14.285715103149414,52.6315803527832,38.88888931274414,0,0,0,0,16376,508,26922,42,0,197927.8998413086,14463.316650390625,265.39385986328125,33336799232,0,5424988160,0
200,1771907272727,408,400,400,1133,842,818,802,841,796,546,841,845,400,482,1133,652,400,515,713,400,0,0,10,0,0,0,5.263157844543457,0,5,0,4.761904716491699,0,0,0,10,25,45,0,0,0,0,16376,508,26922,42,0,197930.3119506836,14464.061096191406,265.39385986328125,33336799232,0,5401284608,0
199,1771907272927,408,400,400,1133,842,818,802,841,796,546,841,845,400,482,1133,652,400,515,713,400,0,0,0,0,0,0,19.047618865966797,0,0,0,0,0,14.285715103149414,0,9.523809432983398,25,40,0,0,0,0,16376,508,26922,42,0,197932.5977783203,14464.684753417969,265.39385986328125,33336799232,0,5427650560,0
200,1771907273127,408,400,400,1133,842,818,802,841,796,546,841,845,400,482,1133,652,400,515,713,400,0,0,0,0,0,0,5,0,4.761904716491699,0,0,0,0,0,0,30.000001907348633,66.66667175292969,0,5,0,0,16376,508,26922,42,0,197935.16430664063,14465.573181152344,265.39385986328125,33336799232,0,5439787008,0
200,1771907273327,408,400,400,1133,842,818,802,841,796,546,841,845,400,482,1133,652,400,515,713,400,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,23.809524536132813,63.15789031982422,0,0,0,0,16376,508,26922,42,0,197937.7947998047,14466.524719238281,265.39385986328125,33336799232,0,5417836544,0
