Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771903503622,1367,400,1581,400,2524,2513,2528,2540,400,1634,2507,2499,1651,400,742,400,1094,400,1025,400,7.317072868347168,2.5,9.523809432983398,0,14.634145736694336,7.142857551574707,4.878048419952393,4.878048419952393,7.317072868347168,7.142857551574707,4.761904716491699,7.317072868347168,7.142857551574707,2.4390242099761963,12.195121765136719,7.317072868347168,12.195121765136719,9.523809432983398,7.692307949066162,0,0,16376,5611,24056,42,0,169282.44165039063,12387.329833984375,264.939697265625,33336799232,0,5771857920,0
200,1771903503622,1367,400,1581,400,2524,2513,2528,2540,400,1634,2507,2499,1651,400,742,400,1094,400,1025,400,7.317072868347168,2.5,9.523809432983398,0,14.634145736694336,7.142857551574707,4.878048419952393,4.878048419952393,7.317072868347168,7.142857551574707,4.761904716491699,7.317072868347168,7.142857551574707,2.4390242099761963,12.195121765136719,7.317072868347168,12.195121765136719,9.523809432983398,7.692307949066162,0,0,16376,5611,24056,42,0,169282.63751220703,12387.360412597656,264.939697265625,33336799232,0,5791985664,0
200,1771903503822,1367,400,1581,400,2524,2513,2528,2540,400,1634,2507,2499,1651,400,742,400,1094,400,1025,400,15.384615898132324,0,8,7.692307949066162,4,4,3.846153974533081,0,3.846153974533081,3.846153974533081,7.692307949066162,3.846153974533081,0,0,46.153846740722656,0,28,0,11.111111640930176,0,0,16376,5611,24056,42,0,169284.99298095703,12388.156188964844,264.939697265625,33336799232,0,5916106752,0
200,1771903504022,1367,400,1581,400,2524,2513,2528,2540,400,1634,2507,2499,1651,400,742,400,1094,400,1025,400,0,0,0,0,5,9.090909004211426,0,0,0,0,5,0,0,0,21.052631378173828,0,75,0,5.263157844543457,0,0,16376,5611,21934,42,0,169287.62170410156,12389.25244140625,264.939697265625,33336799232,0,5849886720,0
199,1771903504222,1367,400,1581,400,2524,2513,2528,2540,400,1634,2507,2499,1651,400,742,400,1094,400,1025,400,0,0,0,0,0,0,0,0,0,5,0,0,0,0,86.36363983154297,0,14.285715103149414,0,0,0,0,16376,5611,19676,42,0,169290.11389160156,12390.198913574219,264.939697265625,33336799232,0,5981347840,0
200,1771903504422,1367,400,1581,400,2524,2513,2528,2540,400,1634,2507,2499,1651,400,742,400,1094,400,1025,400,0,0,14.285715103149414,0,5,5,0,0,0,0,0,0,0,0,68.42105102539063,0,42.105262756347656,0,0,0,0,16376,5611,19569,41,0,169292.78869628906,12391.275939941406,264.939697265625,33336799232,0,6013059072,0
200,1771903504622,1367,400,1581,400,2524,2513,2528,2540,400,1634,2507,2499,1651,400,742,400,1094,400,1025,400,10,0,0,0,0,0,9.523809432983398,0,5,0,0,4.761904716491699,0,0,10.526315689086914,85,68.18181610107422,0,10.526315689086914,0,0,16376,5611,19381,41,0,169295.86962890625,12392.690856933594,264.939697265625,33336799232,0,5970591744,0
200,1771903504822,1367,400,1581,400,2524,2513,2528,2540,400,1634,2507,2499,1651,400,742,400,1094,400,1025,400,10,0,0,0,0,0,15.789472579956055,0,4.761904716491699,0,0,0,5,0,5,45,52.6315803527832,0,19.047618865966797,0,0,16376,5611,19238,41,0,169298.31475830078,12393.463684082031,264.939697265625,33336799232,0,5953949696,0
200,1771903505022,1367,400,1581,400,2524,2513,2528,2540,400,1634,2507,2499,1651,400,742,400,1094,400,1025,400,5,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,23.809524536132813,0,84.21052551269531,0,0,0,0,16376,5638,19067,42,0,169300.88677978516,12394.412658691406,264.939697265625,33336799232,0,5906563072,0
199,1771903505222,1367,400,1581,400,2524,2513,2528,2540,400,1634,2507,2499,1651,400,742,400,1094,400,1025,400,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5.263157844543457,0,100,0,4.761904716491699,0,0,16376,10024,20631,42,95,169303.87426757813,12395.343017578125,264.939697265625,33336799232,0,5962321920,0
200,1771903505423,1367,400,1581,400,2524,2513,2528,2540,400,1634,2507,2499,1651,400,742,400,1094,400,1025,400,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9.523809432983398,0,100,0,0,0,0,16376,10024,22680,42,95,169306.94995117188,12396.310729980469,264.939697265625,33336799232,0,5962317824,0
200,1771903505623,1367,400,1581,400,2524,2513,2528,2540,400,1634,2507,2499,1651,400,742,400,1094,400,1025,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,100,0,0,0,0,16376,10708,24978,43,5,169309.8663330078,12397.500244140625,264.939697265625,33336799232,0,6174519296,0
199,1771903505823,1367,400,1581,400,2524,2513,2528,2540,400,1634,2507,2499,1651,400,742,400,1094,400,1025,400,0,0,0,0,0,0,4.761904716491699,0,5,0,4.761904716491699,0,0,0,5.263157844543457,0,0,0,4.761904716491699,0,0,16376,10708,27127,43,0,169311.52813720703,12397.588134765625,264.939697265625,33336799232,0,6178361344,0
199,1771903506023,1367,400,1581,400,2524,2513,2528,2540,400,1634,2507,2499,1651,400,742,400,1094,400,1025,400,0,0,0,0,0,0,4.761904716491699,0,5,0,4.761904716491699,0,0,0,5.263157844543457,0,0,0,4.761904716491699,0,0,16376,10714,38240,46,88,169313.6987915039,12398.198913574219,264.939697265625,33336799232,0,6203047936,0
199,1771903506223,1367,400,1581,400,2524,2513,2528,2540,400,1634,2507,2499,1651,400,742,400,1094,400,1025,400,2.5,0,0,0,0,0,0,0,0,0,0,0,2.5,0,87.80487823486328,0,7.500000476837158,0,2.5641026496887207,0,0,16376,10714,47689,46,91,169316.21643066406,12399.154296875,264.939697265625,33336799232,0,6211080192,0
200,1771903506423,1367,400,1581,400,2524,2513,2528,2540,400,1634,2507,2499,1651,400,742,400,1094,400,1025,400,4.761904716491699,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,100,0,10.526315689086914,0,0,0,0,16376,10714,57333,47,92,169318.78051757813,12400.157958984375,264.939697265625,33336799232,0,6222319616,0
200,1771903506623,1367,400,1581,400,2524,2513,2528,2540,400,1634,2507,2499,1651,400,742,400,1094,400,1025,400,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,100,0,14.285715103149414,0,0,0,0,16376,10714,66223,47,94,169321.25073242188,12401.069946289063,264.939697265625,33336799232,0,6222319616,0
