Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771904021511,400,400,756,422,2119,580,400,2362,1211,2589,2525,2592,3800,400,400,1685,3700,400,400,434,5.882352828979492,8.333333969116211,6.060606002807617,9.375,15.15151596069336,6.060606002807617,6.060606002807617,8.823529243469238,6.060606002807617,6.060606002807617,0,3.0303030014038086,6.25,8.823529243469238,2.941176414489746,8.823529243469238,18.18181800842285,6.060606002807617,11.428571701049805,2.941176414489746,0,16376,14941,5133,42,0,173065.9736328125,12599.664733886719,264.9888916015625,33336799232,0,5758267392,0
200,1771904021511,400,400,756,422,2119,580,400,2362,1211,2589,2525,2592,3800,400,400,1685,3700,400,400,434,5.882352828979492,8.333333969116211,6.060606002807617,9.375,15.15151596069336,6.060606002807617,6.060606002807617,8.823529243469238,6.060606002807617,6.060606002807617,0,3.0303030014038086,6.25,8.823529243469238,2.941176414489746,8.823529243469238,18.18181800842285,6.060606002807617,11.428571701049805,2.941176414489746,0,16376,14941,5133,42,0,173066.18731689453,12599.704711914063,264.9888916015625,33336799232,0,5750812672,0
200,1771904021711,400,400,756,422,2119,580,400,2362,1211,2589,2525,2592,3800,400,400,1685,3700,400,400,434,7.142857551574707,0,0,0,3.4482758045196533,0,0,3.7037036418914795,6.896551609039307,7.142857551574707,3.5714287757873535,3.4482758045196533,3.4482758045196533,7.142857551574707,48.14814758300781,0,41.379310607910156,0,3.5714287757873535,0,0,16376,14941,5393,42,0,173068.5517578125,12600.5654296875,264.9888916015625,33336799232,0,5891280896,0
200,1771904021911,400,400,756,422,2119,580,400,2362,1211,2589,2525,2592,3800,400,400,1685,3700,400,400,434,10,0,0,0,0,0,0,0,0,0,0,0,20,0,36.842105865478516,0,90,0,5,4.761904716491699,0,16376,14941,5436,42,0,173071.79821777344,12602.311706542969,264.9888916015625,33336799232,0,5794775040,0
200,1771904022111,400,400,756,422,2119,580,400,2362,1211,2589,2525,2592,3800,400,400,1685,3700,400,400,434,25,0,0,0,5,0,0,0,5,9.523809432983398,0,0,15.000000953674316,0,19.047618865966797,80,63.15789031982422,0,25,0,0,16376,508,5725,42,4,173074.84436035156,12603.801513671875,264.9888916015625,33336799232,0,5486624768,0
200,1771904022311,400,400,756,422,2119,580,400,2362,1211,2589,2525,2592,3800,400,400,1685,3700,400,400,434,0,0,0,0,0,9.523809432983398,4.761904716491699,0,0,0,0,0,0,0,0,47.619049072265625,36.842105865478516,0,25,0,0,16376,508,8920,42,100,173076.88885498047,12604.298034667969,264.9888916015625,33336799232,0,5532798976,0
200,1771904022512,400,400,756,422,2119,580,400,2362,1211,2589,2525,2592,3800,400,400,1685,3700,400,400,434,5.263157844543457,0,10.526315689086914,0,5,10,9.523809432983398,0,5,0,4.761904716491699,0,0,0,15.789472579956055,5.263157844543457,52.38095474243164,4.761904716491699,20,0,0,16376,508,11058,43,100,173079.10833740234,12604.892456054688,264.9888916015625,33336799232,0,5539856384,0
200,1771904022712,400,400,756,422,2119,580,400,2362,1211,2589,2525,2592,3800,400,400,1685,3700,400,400,434,0,0,4.761904716491699,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,90.47618865966797,0,5,0,0,16376,508,14362,43,17,173081.87603759766,12606.062927246094,264.9888916015625,33336799232,0,5589155840,0
200,1771904022912,400,400,756,422,2119,580,400,2362,1211,2589,2525,2592,3800,400,400,1685,3700,400,400,434,0,0,0,0,0,5,0,0,0,0,0,0,10.526315689086914,0,13.043478012084961,0,80,0,5,0,0,16376,508,21818,44,0,173084.65014648438,12607.128662109375,264.9888916015625,33336799232,0,5396725760,0
199,1771904023112,400,400,756,422,2119,580,400,2362,1211,2589,2525,2592,3800,400,400,1685,3700,400,400,434,4.761904716491699,0,0,0,0,0,5,0,0,0,0,0,14.285715103149414,0,50,0,84.21052551269531,0,5,0,0,16376,508,26228,44,0,173087.1742553711,12607.936828613281,264.9888916015625,33336799232,0,5395615744,0
200,1771904023312,400,400,756,422,2119,580,400,2362,1211,2589,2525,2592,3800,400,400,1685,3700,400,400,434,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,20,0,63.15789031982422,0,5,0,0,16376,508,30246,44,0,173089.84509277344,12608.862243652344,264.9888916015625,33336799232,0,5398372352,0
200,1771904023512,400,400,756,422,2119,580,400,2362,1211,2589,2525,2592,3800,400,400,1685,3700,400,400,434,0,0,0,0,0,0,10,0,0,0,0,0,0,0,30.000001907348633,0,61.904762268066406,0,10,0,0,16376,508,31736,44,0,173092.52404785156,12609.783813476563,264.9888916015625,33336799232,0,5383364608,0
200,1771904023712,400,400,756,422,2119,580,400,2362,1211,2589,2525,2592,3800,400,400,1685,3700,400,400,434,0,0,0,0,0,0,5,0,0,0,0,0,0,0,28.571430206298828,0,68.42105102539063,0,0,0,0,16376,508,31143,44,0,173095.2587890625,12610.755310058594,264.9888916015625,33336799232,0,5377654784,0
200,1771904023912,400,400,756,422,2119,580,400,2362,1211,2589,2525,2592,3800,400,400,1685,3700,400,400,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,4.761904716491699,68.42105102539063,0,5,0,0,16376,508,31143,44,0,173098.1075439453,12611.807983398438,264.9888916015625,33336799232,0,5366652928,0
